Timestamp,Yaw,Pitch,Roll,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,button_state
3685235,-34.73,0.45,10.44,0.01,0.19,0.99,0.43,0.24,0.31,0.0
3685246,-34.64,0.62,10.84,0.02,0.21,1.02,0.49,0.18,0.37,0.0
3685261,-34.63,0.66,10.8,0.01,0.18,1.0,0.31,0.24,0.31,0.0
3685275,-34.54,0.37,10.61,0.0,0.18,0.99,0.43,0.18,0.24,0.0
3685290,-34.45,0.49,10.56,0.01,0.19,1.0,0.49,0.24,0.24,0.0
3685305,-34.66,0.38,10.62,0.01,0.19,1.01,0.24,0.12,0.24,0.0
3685321,-34.66,0.48,10.53,0.01,0.18,1.0,0.43,0.24,0.31,0.0
3685334,-34.5,0.57,10.51,0.01,0.18,0.98,0.43,0.43,0.31,0.0
3685351,-34.49,0.49,11.04,0.01,0.21,1.01,0.43,0.24,0.37,0.0
3685364,-34.58,0.38,10.71,0.0,0.18,0.99,0.24,0.12,0.37,0.0
3685380,-34.59,0.37,10.28,0.01,0.17,0.99,0.31,0.18,0.37,0.0
3685395,-34.63,0.63,10.72,0.02,0.21,1.02,0.61,0.18,0.31,0.0
3685411,-34.69,0.6,10.75,0.01,0.18,0.99,0.18,0.31,0.31,0.0
3685424,-34.61,0.28,10.6,0.0,0.18,1.0,0.31,0.31,0.31,0.0
3685441,-34.63,0.46,10.55,0.01,0.19,1.01,0.37,0.31,0.43,0.0
3685454,-34.7,0.42,10.78,0.0,0.19,1.01,0.18,0.18,0.31,0.0
3685470,-34.54,0.43,10.6,0.01,0.19,1.0,0.43,0.18,0.31,0.0
3685485,-34.42,0.69,10.33,0.02,0.17,0.98,0.31,0.31,0.37,0.0
3685501,-34.49,0.64,10.9,0.01,0.21,1.01,0.49,0.43,0.37,0.0
3685514,-34.61,0.52,10.74,0.0,0.18,1.0,0.18,0.24,0.43,0.0
3685530,-34.7,0.31,10.23,0.0,0.17,0.98,0.31,0.18,0.18,0.0
3685544,-34.72,0.55,10.56,0.02,0.21,1.02,0.61,0.24,0.37,0.0
3685560,-34.69,0.71,10.78,0.01,0.19,1.0,0.31,0.18,0.31,0.0
3685574,-34.64,0.38,10.76,-0.0,0.19,0.99,0.37,0.31,0.31,0.0
3685590,-34.29,0.65,10.57,0.02,0.19,0.99,0.37,0.43,0.31,0.0
3685604,-34.39,0.53,10.79,0.01,0.19,1.01,0.31,0.18,0.31,0.0
3685621,-34.56,0.64,10.75,0.01,0.19,1.0,0.43,0.12,0.37,0.0
3685634,-34.61,0.75,10.47,0.02,0.18,0.98,0.31,0.24,0.31,0.0
3685650,-34.77,0.5,10.89,0.0,0.21,1.01,0.49,0.31,0.37,0.0
3685664,-34.85,0.41,10.69,0.0,0.18,1.0,0.24,0.24,0.24,0.0
3685680,-34.76,0.29,10.37,0.01,0.17,0.99,0.31,0.18,0.31,0.0
3685694,-34.72,0.55,10.7,0.02,0.21,1.02,0.61,0.31,0.37,0.0
3685711,-34.69,0.66,10.82,0.01,0.19,1.0,0.31,0.31,0.37,0.0
3685724,-34.8,0.37,10.72,0.0,0.19,0.99,0.49,0.31,0.24,0.0
3685740,-35.07,0.45,10.61,0.01,0.19,1.0,0.43,0.37,0.31,0.0
3685754,-34.99,0.46,10.75,0.01,0.19,1.02,0.37,0.12,0.37,0.0
3685770,-34.65,0.66,10.59,0.01,0.19,1.01,0.49,0.18,0.37,0.0
3685784,-34.74,0.73,10.54,0.01,0.19,0.98,0.37,0.31,0.37,0.0
3685801,-34.71,0.6,11.08,0.01,0.21,1.01,0.43,0.18,0.37,0.0
3685814,-34.6,0.59,10.64,0.01,0.17,0.99,0.31,0.0,0.37,0.0
3685830,-34.32,0.48,10.44,0.01,0.18,0.99,0.37,0.24,0.31,0.0
3685844,-34.42,0.68,10.79,0.02,0.21,1.02,0.49,0.31,0.43,0.0
3685860,-34.59,0.68,10.84,0.01,0.19,0.99,0.37,0.24,0.31,0.0
3685874,-34.52,0.43,10.66,0.01,0.18,0.98,0.43,0.18,0.18,0.0
3685891,-34.7,0.53,10.7,0.01,0.19,1.0,0.49,0.31,0.31,0.0
3685904,-34.68,0.5,10.78,0.01,0.19,1.01,0.43,0.12,0.31,0.0
3685920,-34.65,0.74,10.64,0.02,0.19,1.0,0.43,0.18,0.31,0.0
3685934,-34.34,0.78,10.65,0.01,0.19,0.98,0.37,0.49,0.31,0.0
3685946,-34.39,0.58,10.98,0.0,0.21,1.01,0.43,0.49,0.37,0.0
3685959,-34.47,0.49,10.75,0.01,0.18,1.0,0.24,0.12,0.31,0.0
3685975,-34.54,0.24,10.32,0.0,0.18,0.99,0.31,0.31,0.37,0.0
3685989,-34.45,0.38,10.66,0.01,0.21,1.01,0.55,0.24,0.43,0.0
3686005,-34.62,0.55,10.87,0.01,0.19,1.0,0.24,0.24,0.43,0.0
3686020,-34.72,0.35,10.62,0.0,0.18,0.99,0.31,0.31,0.18,0.0
3686035,-34.54,0.49,10.49,0.01,0.19,1.0,0.43,0.12,0.49,0.0
3686049,-34.39,0.43,10.68,0.01,0.19,1.01,0.37,0.06,0.31,0.0
3686065,-34.53,0.44,10.53,0.01,0.19,1.0,0.49,0.12,0.24,0.0
3686079,-34.52,0.62,10.51,0.01,0.18,0.98,0.37,0.24,0.31,0.0
3686095,-34.55,0.53,10.95,0.0,0.21,1.02,0.55,0.49,0.31,0.0
